epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,462.722,0.7552,2.26612,0.56134,0.47337,1.40989,0.99142,0.75,0.745,0.47834,0.825,0.625,0.52083,0.20864,1.38718,3.11097,0.56972,0.8096,2.13577,0.0006734,0.0006734,0.0006734
69,469.239,0.60935,2.2616,0.56952,0.46339,1.26759,0.99142,0.75,0.745,0.47834,0.825,0.625,0.52083,0.20864,1.38718,3.11097,0.56972,0.8096,2.13577,0.0006536,0.0006536,0.0006536
70,475.909,0.74425,2.30349,0.56164,0.49283,1.34491,0.99041,0.75,0.79556,0.42109,0.82499,0.625,0.54167,0.25007,1.4547,3.0208,0.56506,0.88438,2.18661,0.0006338,0.0006338,0.0006338
71,482.696,0.91948,2.23277,0.55727,0.50597,1.38135,0.99041,0.75,0.79556,0.42109,0.82499,0.625,0.54167,0.25007,1.4547,3.0208,0.56506,0.88438,2.18661,0.000614,0.000614,0.000614
72,489.671,0.71742,2.22028,0.5581,0.46225,1.27439,0.99041,0.75,0.79556,0.42109,0.82499,0.625,0.54167,0.25007,1.4547,3.0208,0.56506,0.88438,2.18661,0.0005942,0.0005942,0.0005942
73,496.424,0.72465,2.16347,0.55953,0.47084,1.27148,0.99041,0.75,0.79556,0.42109,0.82499,0.625,0.54167,0.25007,1.4547,3.0208,0.56506,0.88438,2.18661,0.0005744,0.0005744,0.0005744
74,502.884,0.6152,2.07218,0.56283,0.45292,1.17635,0.98815,0.75,0.80188,0.46218,0.98815,0.75,0.745,0.34301,1.56459,2.98224,0.56131,0.73337,2.24712,0.0005546,0.0005546,0.0005546
75,509.881,0.80048,2.34202,0.55296,0.47824,1.34909,0.98815,0.75,0.80188,0.46218,0.98815,0.75,0.745,0.34301,1.56459,2.98224,0.56131,0.73337,2.24712,0.0005348,0.0005348,0.0005348
76,516.738,0.67417,2.14473,0.5552,0.47339,1.2618,0.98815,0.75,0.80188,0.46218,0.98815,0.75,0.745,0.34301,1.56459,2.98224,0.56131,0.73337,2.24712,0.000515,0.000515,0.000515
77,523.981,0.68531,1.99523,0.5565,0.46317,1.31187,0.98815,0.75,0.80188,0.46218,0.98815,0.75,0.745,0.34301,1.56459,2.98224,0.56131,0.73337,2.24712,0.0004952,0.0004952,0.0004952
78,530.751,0.85049,2.27007,0.55732,0.51844,1.40701,0.98693,0.75,0.745,0.44342,0.98693,0.75,0.745,0.3393,1.62792,2.98309,0.56376,0.67675,2.28879,0.0004754,0.0004754,0.0004754
79,537.213,0.79787,2.11863,0.55472,0.46284,1.28467,0.98693,0.75,0.745,0.44342,0.98693,0.75,0.745,0.3393,1.62792,2.98309,0.56376,0.67675,2.28879,0.0004556,0.0004556,0.0004556
80,543.562,0.859,2.10482,0.56323,0.48202,1.31332,0.98693,0.75,0.745,0.44342,0.98693,0.75,0.745,0.3393,1.62792,2.98309,0.56376,0.67675,2.28879,0.0004358,0.0004358,0.0004358
81,549.897,0.61336,2.387,0.56202,0.42109,1.17209,0.98693,0.75,0.745,0.44342,0.98693,0.75,0.745,0.3393,1.62792,2.98309,0.56376,0.67675,2.28879,0.000416,0.000416,0.000416
82,556.355,0.72923,2.0845,0.56735,0.46257,1.27817,0.99033,0.75,0.745,0.44367,0.99033,0.75,0.745,0.33529,1.56119,2.93287,0.56196,0.61987,2.16199,0.0003962,0.0003962,0.0003962
83,562.75,0.57937,2.09332,0.55722,0.43283,1.1936,0.99033,0.75,0.745,0.44367,0.99033,0.75,0.745,0.33529,1.56119,2.93287,0.56196,0.61987,2.16199,0.0003764,0.0003764,0.0003764
84,569.165,0.5956,2.14008,0.54856,0.41524,1.22264,0.99033,0.75,0.745,0.44367,0.99033,0.75,0.745,0.33529,1.56119,2.93287,0.56196,0.61987,2.16199,0.0003566,0.0003566,0.0003566
85,575.815,0.72188,2.12381,0.56527,0.47072,1.22339,0.99033,0.75,0.745,0.44367,0.99033,0.75,0.745,0.33529,1.56119,2.93287,0.56196,0.61987,2.16199,0.0003368,0.0003368,0.0003368
86,582.624,0.63197,2.20397,0.55115,0.43014,1.23361,0.99025,0.75,0.745,0.44367,0.99025,0.75,0.745,0.33529,1.58344,2.91508,0.55856,0.60047,2.20491,0.000317,0.000317,0.000317
87,589.406,0.65244,2.06702,0.56106,0.43278,1.24016,0.99025,0.75,0.745,0.44367,0.99025,0.75,0.745,0.33529,1.58344,2.91508,0.55856,0.60047,2.20491,0.0002972,0.0002972,0.0002972
88,595.767,0.56411,2.10838,0.5572,0.4377,1.17468,0.99025,0.75,0.745,0.44367,0.99025,0.75,0.745,0.33529,1.58344,2.91508,0.55856,0.60047,2.20491,0.0002774,0.0002774,0.0002774
89,602.173,0.59336,2.08702,0.56857,0.45501,1.10733,0.99025,0.75,0.745,0.44367,0.99025,0.75,0.745,0.33529,1.58344,2.91508,0.55856,0.60047,2.20491,0.0002576,0.0002576,0.0002576
90,608.683,0.54118,2.17095,0.55306,0.42366,1.11077,0.99003,0.75,0.745,0.43742,0.99003,0.75,0.745,0.32667,1.66513,2.96036,0.54749,0.63322,2.37092,0.0002378,0.0002378,0.0002378
91,615.158,0.70043,1.99164,0.55698,0.48692,1.22258,0.99003,0.75,0.745,0.43742,0.99003,0.75,0.745,0.32667,1.66513,2.96036,0.54749,0.63322,2.37092,0.000218,0.000218,0.000218
92,621.997,0.6092,2.00783,0.56065,0.43048,1.21509,0.99003,0.75,0.745,0.43742,0.99003,0.75,0.745,0.32667,1.66513,2.96036,0.54749,0.63322,2.37092,0.0001982,0.0001982,0.0001982
93,628.252,0.68467,1.96354,0.54616,0.43983,1.26051,0.99003,0.75,0.745,0.43742,0.99003,0.75,0.745,0.32667,1.66513,2.96036,0.54749,0.63322,2.37092,0.0001784,0.0001784,0.0001784
94,635.116,0.67018,2.17878,0.53998,0.3955,1.28418,0.98967,0.75,0.745,0.41875,0.98967,0.75,0.745,0.28633,1.67241,2.91691,0.54556,0.61572,2.39389,0.0001586,0.0001586,0.0001586
95,642.032,0.71723,2.0813,0.5616,0.49263,1.24188,0.98967,0.75,0.745,0.41875,0.98967,0.75,0.745,0.28633,1.67241,2.91691,0.54556,0.61572,2.39389,0.0001388,0.0001388,0.0001388
96,648.596,0.6112,2.1206,0.56141,0.44814,1.19349,0.98967,0.75,0.745,0.41875,0.98967,0.75,0.745,0.28633,1.67241,2.91691,0.54556,0.61572,2.39389,0.000119,0.000119,0.000119
97,655.217,0.46829,2.09315,0.55294,0.37679,1.06633,0.98967,0.75,0.745,0.41875,0.98967,0.75,0.745,0.28633,1.67241,2.91691,0.54556,0.61572,2.39389,9.92e-05,9.92e-05,9.92e-05
98,661.756,0.65802,2.1653,0.55099,0.43244,1.2109,0.98949,0.75,0.745,0.41975,0.98949,0.75,0.745,0.28633,1.66371,2.90768,0.54416,0.60838,2.39735,7.94e-05,7.94e-05,7.94e-05
99,668.177,0.62013,2.00873,0.54816,0.42281,1.21675,0.98949,0.75,0.745,0.41975,0.98949,0.75,0.745,0.28633,1.66371,2.90768,0.54416,0.60838,2.39735,5.96e-05,5.96e-05,5.96e-05
100,674.525,0.6232,1.89971,0.56096,0.43662,1.1387,0.98949,0.75,0.745,0.41975,0.98949,0.75,0.745,0.28633,1.66371,2.90768,0.54416,0.60838,2.39735,3.98e-05,3.98e-05,3.98e-05
